,nof_selected_features,nof_samples,min_test_error_0,min_test_error_1,min_test_error_2,min_test_error_3,min_test_error_4,min_test_error_5,min_test_error_6,min_test_error_7,min_test_error_8,min_test_error_9
43,40,300,0.10666666666666667,0.09333333333333334,0.09333333333333334,0.08,0.08,0.13333333333333333,0.06666666666666667,0.06666666666666667,0.05333333333333334,0.09333333333333334
44,50,300,0.05333333333333334,0.10666666666666667,0.09333333333333334,0.14666666666666667,0.09333333333333334,0.06666666666666667,0.16,0.09333333333333334,0.13333333333333333,0.16
45,60,300,0.10666666666666667,0.12,0.06666666666666667,0.09333333333333334,0.08,0.10666666666666667,0.09333333333333334,0.10666666666666667,0.02666666666666667,0.05333333333333334
46,70,300,0.09333333333333334,0.10666666666666667,0.10666666666666667,0.06666666666666667,0.16,0.06666666666666667,0.12,0.08,0.08,0.05333333333333334
47,80,300,0.04,0.08,0.12,0.05333333333333334,0.08,0.13333333333333333,0.08,0.04,0.02666666666666667,0.08
48,90,300,0.06666666666666667,0.09333333333333334,0.05333333333333334,0.05333333333333334,0.05333333333333334,0.10666666666666667,0.05333333333333334,0.09333333333333334,0.06666666666666667,0.12
49,100,300,0.09333333333333334,0.06666666666666667,0.13333333333333333,0.06666666666666667,0.10666666666666667,0.06666666666666667,0.05333333333333334,0.09333333333333334,0.09333333333333334,0.05333333333333334
50,110,300,0.10666666666666667,0.04,0.02666666666666667,0.08,0.013333333333333334,0.04,0.14666666666666667,0.09333333333333334,0.12,0.09333333333333334
51,120,300,0.12,0.10666666666666667,0.10666666666666667,0.09333333333333334,0.14666666666666667,0.08,0.08,0.10666666666666667,0.09333333333333334,0.06666666666666667
52,130,300,0.06666666666666667,0.10666666666666667,0.10666666666666667,0.09333333333333334,0.06666666666666667,0.08,0.12,0.08,0.09333333333333334,0.06666666666666667
53,140,300,0.09333333333333334,0.06666666666666667,0.02666666666666667,0.09333333333333334,0.08,0.06666666666666667,0.10666666666666667,0.08,0.04,0.05333333333333334
54,150,300,0.04,0.08,0.05333333333333334,0.16,0.09333333333333334,0.06666666666666667,0.06666666666666667,0.08,0.09333333333333334,0.10666666666666667
